name,country,industry,website,phone,address,city,linkedin_url,google_maps_url,source
Kancelaria Nieruchomości Sitniccy,PL,Real Estate,https://sitniccy.pl,+48625080004,"Poznańska, 31, 63-300, Pleszew",Pleszew,,,overpass
Troczyńska sp.j,PL,Real Estate,http://troczynska.pl,+48502027535,"Zygmunta Starego, 32, 63-300, Pleszew",Pleszew,,,overpass
Krzewscy. Nieruchomości,PL,Real Estate,,,,,,,overpass
Stawarz A,PL,Real Estate,https://stawarza.pl,,,,,,overpass
Metro house,PL,Real Estate,,,,,,,overpass
Dobry Pośrednik,PL,Real Estate,,,,,,,overpass
neodom.pl,PL,Real Estate,,,,,,,overpass
F48,PL,Real Estate,https://wandm.com.pl,,"Francuska, 48, Warszawa",Warszawa,,,overpass
M-DOM,PL,Real Estate,,,"Henryka Sienkiewicza, 67, 34-300, Żywiec",Żywiec,,,overpass
metrohouse,PL,Real Estate,,,"Powsińska, 34, Warszawa",Warszawa,,,overpass
Profit,PL,Real Estate,,,,,,,overpass
Deve Invest Sp. z o.o.,PL,Real Estate,https://deveinvest.pl,+48530121555,"Osiedle Władysława Sikorskiego, 10b, 28-100, Busko-Zdrój",Busko-Zdrój,,,overpass
Re,PL,Real Estate,,,,,,,overpass
Takumi Polska,PL,Real Estate,,+48 17 8502201,"Podwisłocze, 21, 35-309, Rzeszów",Rzeszów,,,overpass
Pil-Kaz,PL,Real Estate,,,"Ignacego Jana Paderewskiego, 1, 56-416, Twardogóra",Twardogóra,,,overpass
Investor,PL,Real Estate,,,,,,,overpass
SP-Partners Biuro Nieruchomości Gdynia,PL,Real Estate,https://www.sp-partners.pl,+48 519 765 972,"Aleja Zwycięstwa, 241/13, 81-521, Gdynia",Gdynia,,,overpass
Mój dom,PL,Real Estate,,,,,,,overpass
Północ nieruchomości,PL,Real Estate,,,,,,,overpass
Atelie. Oliwskie Biuro Nieruchomości,PL,Real Estate,,,,,,,overpass
WGN,PL,Real Estate,,,,,https://www.linkedin.com/company/wgn/,,overpass
Buiro nieruchomości Widok,PL,Real Estate,http://widok-nieruchomosci.pl,+48668119020,"Starowiejska, 47, Gdynia",Gdynia,,,overpass
Arcan Nieruchomości,PL,Real Estate,,+48586216313,,,,,overpass
Agencja nieruchomości Klif,PL,Real Estate,,+48587819200,,,,,overpass
Biuro Obrotu Nieruchomości DOM,PL,Real Estate,http://www.bondom.republika.pl,,,,,,overpass
Sun&Snow,PL,Real Estate,https://www.sunandsnow.pl,+48 600059295,"Uzdrowiskowa, 18, 72-600, Świnoujście",Świnoujście,,,overpass
Biuro Pośrednictwa Ewa Jagielska,PL,Real Estate,http://jagielska.com.pl,+48586208852,,,,,overpass
Adresowo,PL,Real Estate,http://speak-up.pl/pl/szkoly-angielskiego/gdynia,,"10 Lutego, 16, Gdynia",Gdynia,,,overpass
3city Invest,PL,Real Estate,http://3cityinvest.pl,,,,,,overpass
Promesa,PL,Real Estate,http://www.promesa.gda.pl,+48 58 661 51 80,,,,,overpass
Biuro sprzedaży Moderna,PL,Real Estate,,,,,,,overpass
Dommat,PL,Real Estate,,,,,,,overpass
Mowago,PL,Real Estate,,,,,,,overpass
VAX,PL,Real Estate,,,,,,,overpass
Atrium Nieruchomości,PL,Real Estate,https://atrium-torun.pl,+48 519 462 765,"Ludwika Rydygiera, 18, 87-100, Toruń",Toruń,,,overpass
Partner,PL,Real Estate,https://www.partnerkalina.pl,+48 22 728 77 77,,,,,overpass
Stależak,PL,Real Estate,https://www.stelezak.com.pl,+48 22 758 70 64,,,,,overpass
Akces,PL,Real Estate,https://www.akcespolska.com,,"Bolesława Podczaszyńskiego, 17A, 01-866, Warszawa",Warszawa,https://www.linkedin.com/company/akces/,,overpass
ALMAT,PL,Real Estate,http://almat.gda.pl,+48587187050,,,,,overpass
Kaczorowski Nieruchomości Into,PL,Real Estate,,+48586216964,,,,,overpass
ZZN Sp. z o.o. Oddział Trójmiasto,PL,Real Estate,https://zzn.pl/trojmiasto.html,+48587816616,,,https://www.linkedin.com/company/zzn/,,overpass
Apartamenty Black&White,PL,Real Estate,http://apartamentygdynia.eu,,,,,,overpass
K. Myszka Nieruchomości,PL,Real Estate,,+48519148191,,,,,overpass
Marymont nieruchomości,PL,Real Estate,https://marymont-nieruchomosci.gratka.pl,,"Cegłowska, 19, 01-803, Warszawa",Warszawa,,,overpass
Develia,PL,Real Estate,,,"Rondo ONZ, 1, 00-124, Warszawa",Warszawa,,,overpass
Strzelczyk,PL,Real Estate,,,"Belwederska, 19",,,,overpass
Dom&House,PL,Real Estate,https://domhouse.pl,,"Puławska, 111A, 02-707, Warszawa",Warszawa,,,overpass
Posesja,PL,Real Estate,http://www.posesja.gdynia.pl,+48586203217,,,,,overpass
Agencja Obrotu Nieruchomościami Joanna Kulska,PL,Real Estate,http://kulska.pl,+48586612100,,,,,overpass
Prodom,PL,Real Estate,,+48602348524,,,,,overpass
Arkada Nieruchomości,PL,Real Estate,,,"Dworcowa, Bydgoszcz",Bydgoszcz,,,overpass
My Home,PL,Real Estate,,+48 575 952 570,"Jana Pawła II, 24, 95-050, Konstantynów Łódzki",Konstantynów Łódzki,,,overpass
Biuro Sprzedaży Mieszkań,PL,Real Estate,https://nowakielecka.pl,+48 728 83 99 77,,,,,overpass
Leach & Lang,PL,Real Estate,,,"Lubicz, 17",,,,overpass
Vega,PL,Real Estate,,,,,,,overpass
Mak Dom,PL,Real Estate,https://makdom.pl,,"Aleja Niepodległości, 54, 02-626, Warszawa",Warszawa,,,overpass
Zaleski,PL,Real Estate,https://zaleski.pl,+48 58 344 07 07,,,,,overpass
Astra Nieruchomości,PL,Real Estate,http://astra.gdynia.pl,+48586202835,,,,,overpass
Forum Nieruchomości,PL,Real Estate,http://forumgdynia.pl,+48586600707,,,,,overpass
Mieszkanioteka,PL,Real Estate,http://www.mieszkanioteka.pl,+48 72 81 52 474,"Księcia Władysława Opolczyka, 15, 92-417, Łódź",Łódź,,,overpass
Społdzielnia Mieszkaniowa Anin,PL,Real Estate,http://smanin.pl,+48228120601,,,,,overpass
Manaja,PL,Real Estate,http://www.manaja.pl,+48586614481,,,,,overpass
Musiał Nieruchomości,PL,Real Estate,http://www.m-an.pl,+48 503 555 503,,,,,overpass
Nieruchomości Golden House,PL,Real Estate,,,,,,,overpass
Villa nieruchomości,PL,Real Estate,https://www.villa-nieruchomosci.pl,+48 94 351 17 41; +48 697 480 055,"Podporucznika Edmunda Łopuskiego, 40a, 78-100, Kołobrzeg",Kołobrzeg,,,overpass
Hacjenda,PL,Real Estate,,,,,,,overpass
Eurodomy,PL,Real Estate,https://eurodomy.pl,+48 608 294 999,"Księdza Ignacego Skorupki, 16, 05-504, Złotokłos",Złotokłos,,,overpass
BIURO NIERUCHOMOŚCI Michał Chabałowski,PL,Real Estate,https://chabalowski.pl,+48 58 531 29 79,"Chłodna, 2, 83-110, Tczew",Tczew,,,overpass
Nowe Banino,PL,Real Estate,http://dommoichmarzen.eu,+48 500 135 050,80-297,,,,overpass
Mikulski,PL,Real Estate,,+48 94 700 00 23,,,,,overpass
System Plus,PL,Real Estate,,,"Bolesława Chrobrego, 22, 64-100, Leszno",Leszno,,,overpass
Tacit Investment,PL,Real Estate,,,"Twarda, 4",,,,overpass
Realty,PL,Real Estate,,,,,,,overpass
Centrum Nieruchomości,PL,Real Estate,,,,,,,overpass
Jardom Nieruchomości,PL,Real Estate,,,,,,,overpass
PB EKONBUD-FADOM,PL,Real Estate,,,"Bohaterów Westerplatte, 11, 65-034, Zielona Góra",Zielona Góra,,,overpass
RB Nieruchomości,PL,Real Estate,,,,,,,overpass
FID Group,PL,Real Estate,https://www.fidgroup.pl,,,,,,overpass
_Buchwald_ fair finance,PL,Real Estate,,+48609833279,,,,,overpass
Agent Nieruchomości,PL,Real Estate,,,,,,,overpass
Lauren,PL,Real Estate,,,"Plac Grzybowski, 10",,,,overpass
Home Broker / Open Finance,PL,Real Estate,,,,,,,overpass
Golden Leo Sp. z o.o.,PL,Real Estate,,,"Dziennikarska, 11, 59-220, Legnica",Legnica,,,overpass
Szerbud,PL,Real Estate,http://www.szerbud.pl,,"Jana Olbrachta, 14, 35-006, Rzeszów",Rzeszów,,,overpass
Majdom,PL,Real Estate,,,"Tadeusza Kościuszki, 13, 32-650, Kęty",Kęty,,,overpass
REMA Nieruchomości,PL,Real Estate,https://rema.nieruchomosci.pl,+48 32 205 20 17,,,,,overpass
Semrau,PL,Real Estate,,,"14 Lutego, 4, 64-920, Piła",Piła,,,overpass
Tecnocasa Agencja Nieruchomości,PL,Real Estate,,,,,,,overpass
Biuro Sprzedaży Oaza Bronowice,PL,Real Estate,,,,,,,overpass
Fundament,PL,Real Estate,,,,,,,overpass
Magenda,PL,Real Estate,https://www.magenda.pl,+48506118751,"Francuska, 26",,,,overpass
Atrium-duo,PL,Real Estate,,,,,,,overpass
KAMEL Nieruchomości,PL,Real Estate,http://www.kamel.nieruchomosci.pl,,,,,,overpass
TOP MK,PL,Real Estate,http://www.nieruchomosci-topmk.pl,+4832 415 74 02,,,,,overpass
BUSSE Nieruchomości,PL,Real Estate,,,,,,,overpass
Tecnocasa,PL,Real Estate,,,"Tadeusza Kościuszki, 73, 30-204, Kraków",Kraków,,,overpass
Prima,PL,Real Estate,,,,,https://www.linkedin.com/company/prima/,,overpass
Księżopolscy,PL,Real Estate,,,,,,,overpass
Re/Max DUO,PL,Real Estate,https://www.remax-polska.pl/duo4,,,,,,overpass
Alking Nieruchomości,PL,Real Estate,https://alkingnieruchomosci.pl/pl,+48690977265,"Podwale Staromiejskie, 90, 80-844, Gdańsk",Gdańsk,,,overpass
Krupa Nieruchomości,PL,Real Estate,,,,,,,overpass
Drągowski,PL,Real Estate,,,"Aleja Komisji Edukacji Narodowej, 90",,,,overpass
Robyg,PL,Real Estate,https://robyg.pl,,,,,,overpass
Immobilien Nieruchomości,PL,Real Estate,http://www.immobilien.gdynia.pl,+48586207545,,,,,overpass
Tyszkiewicz nieruchomości,PL,Real Estate,,,,,,,overpass
"Agencja nieruchomości ""TEBO""",PL,Real Estate,,,,,,,overpass
Homedom Mój Dom generalne wykonastwo,PL,Real Estate,,,"Obornicka, 2, 64-500, Szamotuły",Szamotuły,,,overpass
Torus,PL,Real Estate,,,,,,,overpass
A. S. Sędek,PL,Real Estate,,+48586616601,,,,,overpass
Własny Kąt,PL,Real Estate,https://wlasnykat.com.pl,+48586604750,,,,,overpass
Kaczmarek Nieruchomości,PL,Real Estate,http://www.kaczmarek.nieruchomosci.pl,+48586631153,,,,,overpass
Odrzywolska & Wójcik Nieruchomości,PL,Real Estate,http://www.odrzywolskawojcik.tkn.pl,+48586203622,,,,,overpass
ARTFLAT Nieruchomości,PL,Real Estate,https://artflat.pl,+48583803860,,,,,overpass
Nordhome,PL,Real Estate,https://www.nordhome.com.pl,+48586653627,,,,,overpass
Biuro Nieruchomości Józef Kufel Nieruchomości,PL,Real Estate,https://www.jkn.com.pl,+48 33 860 05 55,"Aleja Marszałka Józefa Piłsudskiego, 34/1, 34-300, Żywiec",Żywiec,,,overpass
Minterglobal Andrzej Izdebski,PL,Real Estate,,+48 881 498 181;+48 12 681 10 33,"Mogilska, 86, 31-546, Kraków",Kraków,,,overpass
Wiślany Mokotów,PL,Real Estate,https://wislanymokotow.pl,,"Bluszczańska, 67, 00-712, Warszawa",Warszawa,,,overpass
Dobrzenieccy Nieruchomości / Todex,PL,Real Estate,https://dobrzenieccynieruchomosci.pl,+48 61 814 63 13,"Poznańska, 20/22, 62-080, Swadzim",Swadzim,,,overpass
Krawczak,PL,Real Estate,,,,,,,overpass
Zachód Nieruchomości,PL,Real Estate,,,"Kupiecka, 41, 65-058, Zielona Góra",Zielona Góra,,,overpass
Cimerman,PL,Real Estate,,,"Karmelkowa, 2d, 52-416, Wrocław",Wrocław,,,overpass
Kamienica Wiedeńska,PL,Real Estate,https://kamienicawiedenska.pl,+48790204617,,,,,overpass
MH Construction,PL,Real Estate,https://mhconstruction.pl,,,,https://www.linkedin.com/company/mhconstruction/,,overpass
Piasecka Nieruchomości,PL,Real Estate,,,,,,,overpass
Inter-Haus,PL,Real Estate,,,,,,,overpass
Kanon nieruchomości,PL,Real Estate,,+48 500 140 980,"Norberta Barlickiego, 25, 43-300, Bielsko-Biała",Bielsko-Biała,,,overpass
Bliskie Centrum Nieruchomości,PL,Real Estate,http://www.bcn.com.pl,+48 603 660 389,"Księdza Stanisława Stojałowskiego, 17, 43-300, Bielsko-Biała",Bielsko-Biała,,,overpass
Borowicz nieruchomości,PL,Real Estate,https://www.daczalubinski.com,+48 33 861 51 41,"Tadeusza Kościuszki, 4, 34-300, Żywiec",Żywiec,,,overpass
Sverum,PL,Real Estate,https://sverum.pl,+48 512 380 349,"Generała Jana Henryka Dąbrowskiego, 6/3, 42-200, Częstochowa",Częstochowa,,,overpass
Fort Służew,PL,Real Estate,,,"Nowoursynowska, 181, Warszawa",Warszawa,,,overpass
Savana,PL,Real Estate,,,,,https://www.linkedin.com/company/vana/,,overpass
Kurmańska,PL,Real Estate,,,,,,,overpass
WGN Nieruchomości,PL,Real Estate,,,,,,,overpass
Terra Nieruchomości,PL,Real Estate,,,,,,,overpass
Nieruchomości Domex,PL,Real Estate,,,"Tadeusza Kościuszki, 30, 62-100, Wągrowiec",Wągrowiec,,,overpass
Biuro Obsługi Nieruchomości BON,PL,Real Estate,http://www.bonwejherowo.pl,+48 58 677 16 27,"Przemysłowa, 7A/6, 84-200, Wejherowo",Wejherowo,,,overpass
Mościcki Nieruchomości,PL,Real Estate,https://moscicki.pl,+48 22 859 18 54; +48 22 859 18 55,"Melchiora Wańkowicza, 5a, 02-796",,,,overpass
Nieruchomości Plus+ s.c.,PL,Real Estate,https://www.nieruchomosciplus.com,+48 58 672 52 52,"Tadeusza Kościuszki, 13/1, 84-200, Wejherowo",Wejherowo,,,overpass
Wesserling Nieruchomości,PL,Real Estate,https://wesserling.pl,+48 58 778 21 35,"10 Lutego, 1/3, 84-200, Wejherowo",Wejherowo,,,overpass
Biuro Nieruchomości Jarosław Byrwa,PL,Real Estate,https://www.nieruchomoscinadbaltykiem.pl,+48 698 49 49 42,"Wenedów, 49A, 76-150, Darłowo",Darłowo,,,overpass
Świat Nieruchomości - Bracia Juszczak,PL,Real Estate,https://www.swiat.nieruchomosci.pl,+48 71 330 50 50,,,,,overpass
Nieruchomości Karkonoskie,PL,Real Estate,,,,,,,overpass
Hewelt Nieruchomości,PL,Real Estate,http://hewelt.eu,+48 58 736 22 66,"Mikołaja Kopernika, 19, 84-200, Wejherowo",Wejherowo,,,overpass
Nieruchomości Wilanów,PL,Real Estate,http://www.nieruchomosciwilanow.pl,+48 663 360 360,"Krzysztofa Kieślowskiego, 3, 02-962, Warszawa",Warszawa,,,overpass
Agencja Baranowski,PL,Real Estate,,,,,,,overpass
4sale,PL,Real Estate,https://4salewejherowo.pl,+48 58 778 10 88,"Rzeźnicka, 3/1, 84-200, Wejherowo",Wejherowo,,,overpass
Marsta,PL,Real Estate,http://www.marsta.pl,+48 500 490 494,"Rzeźnicka, 3/4, 84-200, Wejherowo",Wejherowo,,,overpass
Pionier,PL,Real Estate,,,,,,,overpass
Domi Nieruchomości,PL,Real Estate,,,"Pod Filarami, 2, 65-068, Zielona Góra",Zielona Góra,,,overpass
SK Nieruchomości,PL,Real Estate,,,"Adama Mickiewicza, 13, 65-053, Zielona Góra",Zielona Góra,,,overpass
NLiberty,PL,Real Estate,,,"Jana Sobieskiego, 4, 65-071, Zielona Góra",Zielona Góra,,,overpass
Technocasa,PL,Real Estate,,,,,,,overpass
Multiagencja Dom,PL,Real Estate,,,"Kupiecka, 39, 65-058, Zielona Góra",Zielona Góra,,,overpass
Filar,PL,Real Estate,https://filar-ma.pl,+48 58 677 28 75,"Wałowa, 23/1, 84-200, Wejherowo",Wejherowo,,,overpass
Biuro sprzedarzy,PL,Real Estate,https://zieloneosiedle.com,+48 500 26 75 90,,,,,overpass
Baszta Nieruchomości,PL,Real Estate,https://www.baszta.eu,,,,,,overpass
"Firma deweloperska ""KOS-BUD"" Andrzej Kostrzewski",PL,Real Estate,http://www.deweloper.gniezno.pl,+48614256948,"Orzechowa, 6, 62-200, Gniezno",Gniezno,,,overpass
Dąbrowscy Nieruchomości EM4,PL,Real Estate,https://www.nieruchomosciem4.pl,+48 85 742 21 15,"Legionowa, 28, 15-281, Białystok",Białystok,,,overpass
Sikorska & Szmaja,PL,Real Estate,,,,,,,overpass
Gruno nieruchomości,PL,Real Estate,,,,,,,overpass
Osiedle Malownicze Sp. z o.o. Biuro Sprzedaży,PL,Real Estate,https://www.osiedlemalownicze.wroc.pl,,,,,,overpass
Apartamentowiec,PL,Real Estate,,,"Nałęczowska, 30, 20-701, Lublin",Lublin,,,overpass
Budziak Nieruchomości,PL,Real Estate,,,,,,,overpass
Magnat Nieruchomości,PL,Real Estate,,,"Nadwiślańska, 3",,,,overpass
ARG Sp. z o.o.,PL,Real Estate,,,,,,,overpass
Florczyk Mikołaj,PL,Real Estate,http://www.nieruchomosci-konin.pl,+48 609 192 788,,,,,overpass
Uni-Group,PL,Real Estate,https://www.uni-group.pl,+48 22 869 30 20,"Plac Thomasa Woodrowa Wilsona, 2, 01-615",,,,overpass
Elite Nieruchomości,PL,Real Estate,,,,,,,overpass
Investing,PL,Real Estate,,,,,,,overpass
M-Doradcy,PL,Real Estate,,,,,,,overpass
Gawra nieruchomości,PL,Real Estate,,,,,,,overpass
Lokum,PL,Real Estate,,,,,,,overpass
LEGRA,PL,Real Estate,,,,,,,overpass
Biuro Sprzedaży Apartamentów,PL,Real Estate,,+48 505 666 969,,,,,overpass
Świat Nieruchomości,PL,Real Estate,https://www.swiatnieruchomosci.pl,+48 91 820 60 60,"aleja Bohaterów Warszawy, 91a/V, 70-343, Szczecin",Szczecin,,,overpass
Rentumi properties,PL,Real Estate,,,,,,,overpass
Izyda Nieruchomości,PL,Real Estate,,,,,,,overpass
HOMELA Nieruchomości,PL,Real Estate,https://www.homela.pl,+48 535 227 009,"Żywiecka, 17/1, 43-300, Bielsko-Biała",Bielsko-Biała,,,overpass
Home,PL,Real Estate,https://home-nieruchomosci.pl,+48 94 35 472 18;+48 601 317 016;+48 601 317 006,"Armii Krajowej, 15c/22, 78-100, Kołobrzeg",Kołobrzeg,,,overpass
Ericpol Nieruchomości Sp. z o.o.,PL,Real Estate,,,,,,,overpass
Siemaszko,PL,Real Estate,,,,,,,overpass
nieruchomości Brożek,PL,Real Estate,,,,,,,overpass
Better Life,PL,Real Estate,,,,,,,overpass
Sablik,PL,Real Estate,https://www.sablik.pl,+48 606 206 079,,,,,overpass
Finans,PL,Real Estate,,,,,https://www.linkedin.com/company/finans/,,overpass
Nyczka nieruchomości,PL,Real Estate,,,,,,,overpass
Vista nieuchomości,PL,Real Estate,https://www.vista.szczecin.pl,,,,,,overpass
PW Biuro Nieruchomości,PL,Real Estate,https://www.biuropw.pl,+48 508 260 662,"Dworcowa, 8, 78-100, Kołobrzeg",Kołobrzeg,,,overpass
"Nieruchomości ""Jaśkiewicz""",PL,Real Estate,,,,,,,overpass
Bracia Miklewscy,PL,Real Estate,,,,,,,overpass
ELLEMAK,PL,Real Estate,,,,,,,overpass
Optimum Nieruchomości,PL,Real Estate,http://optimumnieruchomosci.pl,+48 71 364 25 91,"aleja Armii Krajowej, 12b, 50-541, Wrocław",Wrocław,,,overpass
Architecture Vento,PL,Real Estate,https://architecturevento.pl,,,,,,overpass
Karsznia Nieruchomości,PL,Real Estate,http://www.karsznia.nieruchomosci.pl,+48531351351,,,,,overpass
Gotan,PL,Real Estate,,,,,,,overpass
Apartamenty Platinium,PL,Real Estate,,,,,,,overpass
"""Kamienica"" Nieruchomości",PL,Real Estate,https://nieruchomoscikamienica.pl,+48586244058,,,,,overpass
Rezydent,PL,Real Estate,,,,,,,overpass
Dommar Nieruchomości,PL,Real Estate,https://www.dommar.nieruchomosci.pl,+48 32 230 86 80,,,,,overpass
MK Nieruchomości,PL,Real Estate,,,,,,,overpass
Invicus,PL,Real Estate,https://www.invicus.pl,+48632467444,,,,,overpass
Ekonbud-Fadom,PL,Real Estate,,,"Bohaterów Westerplatte, 24, 65-034, Zielona Góra",Zielona Góra,,,overpass
Kantor Nieruchomości,PL,Real Estate,,,,,,,overpass
Mytych,PL,Real Estate,https://www.mytych.com.pl,+48 55 234 04 60,"Żyrardowska, 83c, 82-300, Elbląg",Elbląg,https://www.linkedin.com/company/mytych/,,overpass
Ardom,PL,Real Estate,,,,,,,overpass
Progres-A,PL,Real Estate,,,,,,,overpass
Randal Nieruchomosci,PL,Real Estate,,,,,,,overpass
Agrobex,PL,Real Estate,,,,,,,overpass
"""Sylmar"" Nieruchomości",PL,Real Estate,http://www.sylmar.com.pl,+48 22 727 29 54,,,https://www.linkedin.com/company/sylmar/,,overpass
specHouse,PL,Real Estate,,,,,,,overpass
spravia,PL,Real Estate,https://spravia.pl,+48 61 679 22 07,,,,,overpass
"""Dalar"" Nieruchomości",PL,Real Estate,https://www.dalar.pl,+48 22 716 00 00,"Pijarska, 44BL2A, 05-530, Góra Kalwaria",Góra Kalwaria,,,overpass
Nieruchomości WEX,PL,Real Estate,,+48 59 841 10 29,"Michała Mostnika, 13/36, 76-200, Słupsk",Słupsk,,,overpass
SOBE Nieruchomości,PL,Real Estate,,,"76-200, Słupsk",Słupsk,,,overpass
Vivir,PL,Real Estate,,,,,,,overpass
Gep House Development,PL,Real Estate,,,,,,,overpass
Master Invest,PL,Real Estate,,,,,,,overpass
Arenda,PL,Real Estate,,,,,,,overpass
Biuro nieruchomości Interior,PL,Real Estate,,+48 792 005 145,,,,,overpass
Kontrakt Plus,PL,Real Estate,https://www.kontraktplus.pl,,"Czarnoleśna, 2, 41-709, Ruda Śląska",Ruda Śląska,,,overpass
T1 Deweloper,PL,Real Estate,,,,,,,overpass
Capital-Invest,PL,Real Estate,https://www.capital-invest.pl,+48 603 304 042,"Krakowska, 76a, 34-120, Andrychów",Andrychów,,,overpass
Bem Nieruchomości,PL,Real Estate,https://www.firmabem.pl,+48 501 117 107,,,,,overpass
Bissmyk,PL,Real Estate,,,,,,,overpass
Martex Consulting,PL,Real Estate,http://www.martex.krn.pl,+48324555473,,,,,overpass
Nieruchomości Centrum,PL,Real Estate,https://www.domian.pl,+48324562183,,,,,overpass
ShortStayPoland.com,PL,Real Estate,,,"Warecka, 11, 00-034, Warszawa",Warszawa,,,overpass
Partner Nieruchomości,PL,Real Estate,,,"36, 60-682, Poznań",Poznań,,,overpass
Nieruchomości ABC,PL,Real Estate,https://abc.nieruchomosci.pl,+48 503 187 070; +48 22 774 19 99,,,,,overpass
Area House,PL,Real Estate,,,,,,,overpass
Biuro Obrotu Nieruchomościami,PL,Real Estate,,,,,,,overpass
EuroHome,PL,Real Estate,,,"Aleja Niepodległości, 11, 39-300, Mielec",Mielec,,,overpass
MOREK Nieruchomości,PL,Real Estate,https://www.moreknieruchomosci.pl,+48 94 352 25 76,"Zwycięzców, 15/9, 78-100, Kołobrzeg",Kołobrzeg,,,overpass
UR.place,PL,Real Estate,,,,,,,overpass
MiT,PL,Real Estate,,,"Aleja św. Jana Pawła II, 38/2, 78-100",,,,overpass
Wasilewski Development,PL,Real Estate,,,"Nadjeziorna, 23, 19-300, Ełk",Ełk,,,overpass
Grodzki Development,PL,Real Estate,,,"Nadjeziorna, 19, 19-300, Ełk",Ełk,,,overpass
Freedom,PL,Real Estate,,,"Aleja Niepodległości, 9, 39-300, Mielec",Mielec,,,overpass
assethome,PL,Real Estate,,,"Gabriela Narutowicza, 1/7, 78-100, Kołobrzeg",Kołobrzeg,,,overpass
Zachodniopomorskie Centrum Nieruchomości,PL,Real Estate,,,,,,,overpass
